"movie","count ( _id )","latitude","longitude"
"Varisu","5","85.2557301","23.4559809"
"Varisu","2","87.5","26"
"Thunivu","4","79.37173036154906","10.9645549"
"Thunivu","29","77.710247","8.722388"
"Varisu","23","80.6185089","16.5087573"
"Thunivu","1","76.7176885","30.7041168"
"Thunivu","1","75.56805772253911","31.29201065"
"Varisu","1","6.874619","49.1835376"
"Varisu","1","80.66247852355892","7.877395849999999"
"Thunivu","1","-6.2602964","53.3498006"
"Varisu","4","77.77597856822051","9.4669895"
"Thunivu & Varisu","7","-118.242766","34.0536909"
"Thunivu & Varisu","2","79.3906033561226","12.2428673"
"Thunivu","4","130.2601491","-3.0616325"
"Varisu","15","80.1863809","15.9240905"
"Thunivu & Varisu","1","78.0436813","30.3255646"
"Varisu","2","82.2052321","26.7990707"
"Varisu","2","72.5797068","23.0216238"
"Thunivu","1","-1.9180234948012402","54.31536155"
"Thunivu","5","77.8309478","12.7328844"
"Thunivu & Varisu","4","78.6870296","10.804973"
"Thunivu & Varisu","9","-79.1053129","40.7395087"
"Thunivu","4","76.9193876","15.1433952"
"Varisu","22","80.859666","27.1303344"
"Thunivu","6","79.9839686","12.9647163"
"Thunivu & Varisu","1","80.5688069","16.4318209"
"Varisu","164","80.270186","13.0836939"
"Thunivu & Varisu","7","81.527344","16.5427689"
"Thunivu","1","77.492635","13.8306127"
"Varisu","5","-90.2915132","43.2233214"
"Thunivu & Varisu","1","-73.97817335537326","40.7601024"
"Thunivu & Varisu","1","-82.6881395","40.2253569"
"Varisu","10","85.1235252","25.6093239"
"Thunivu","6","79.83512262283737","13.77928955"
"Thunivu & Varisu","2","78.77085116013691","14.2012997"
"Varisu","2","79.51980961374048","18.9812967"
"Thunivu","1","80.1443190204823","12.95935475"
"Varisu","2","79.29838501460121","28.8680526"
"Varisu","1","76.4374208","32.0291804"
"Thunivu","2","-81.3790304","28.5421109"
"Thunivu","1","75.3390241","19.877263"
"Thunivu","1","-110.8735018","44.4839486"
"Thunivu","1","79.1643137","12.936069"
"Thunivu & Varisu","1","81.1348181","16.1817369"
"Thunivu","1","79.7634644","11.7564329"
"Thunivu","17","78.1602498","11.6612012"
"Varisu","2","77.166667","16.083333"
"Thunivu & Varisu","8","75.6741579","18.9068356"
"Thunivu & Varisu","18","74.2405329","16.7028412"
"Thunivu & Varisu","3","80.01534335527676","14.91098925"
"Varisu","3","80.8940083","17.6688019"
"Thunivu & Varisu","2","77.76822875372174","29.000652549999998"
"Thunivu & Varisu","1","73.8256708","15.5016339"
"Varisu","9","81.3732849","21.2120677"
"Thunivu","17","-79.1053129","40.7395087"
"Thunivu","1","77.1709729","31.1041526"
"Thunivu & Varisu","8","-82.9568899","36.429878"
"Thunivu","1","77.97340010370982","11.5330743"
"Thunivu & Varisu","8","77.2219388","28.6517178"
