"entities.hashtags.text","entities.hashtags.text","count ( _id )"
"Thunivu","Thunivu","14641"
"Varisu","Varisu","14116"
"AjithKumar","AjithKumar","2713"
"VeeraSimhaReddy","VeeraSimhaReddy","2172"
"WaltairVeerayya","WaltairVeerayya","1667"
"Vaarasudu","Vaarasudu","1522"
"varisu","varisu","1452"
"Thalapathy","Thalapathy","1373"
"Nifty50","Nifty50","1229"
"StockMarket","StockMarket","1229"
"Nifty","Nifty","1229"
"Sensex","Sensex","1229"
"VarisuPongal","VarisuPongal","1091"
"ThunivuPongal","ThunivuPongal","1086"
"3DaysForVarisu","3DaysForVarisu","1082"
"Tegimpu","Tegimpu","978"
"Thegimpu","Thegimpu","940"
"thunivu","thunivu","932"
"BoycottBollywood","BoycottBollywood","855"
"BoycottPathan","BoycottPathan","854"
"ThalapathyVijay","ThalapathyVijay","851"
"ThunivuFromJan11","ThunivuFromJan11","842"
"VarisuBookings","VarisuBookings","640"
"VarisuTrailer","VarisuTrailer","630"
"Ajith","Ajith","585"
"Ajithkumar","Ajithkumar","530"
"ThunivuBookings","ThunivuBookings","500"
"Vijay","Vijay","498"
"ThalapathyVijay𓃵","ThalapathyVijay𓃵","482"
"VarisuFromJan11","VarisuFromJan11","475"
"HVinoth","HVinoth","442"
"NoGutsNoGlory","NoGutsNoGlory","432"
"Ajithkumar𓃵","Ajithkumar𓃵","428"
"JaiBalayya","JaiBalayya","410"
"VarisuTralier","VarisuTralier","396"
"Thala","Thala","390"
"SuryakumarYadav","SuryakumarYadav","375"
"RHOBH","RHOBH","375"
"KapilDev","KapilDev","375"
"IrrfanKhan","IrrfanKhan","365"
"TinaDatta","TinaDatta","365"
"USA","USA","364"
"ThunivuTrailer","ThunivuTrailer","344"
"VarisuPongal2023","VarisuPongal2023","343"
"ThunivuFDFS","ThunivuFDFS","343"
"Sankranthi2023","Sankranthi2023","342"
"JainsThankModiji","JainsThankModiji","339"
"Yoginomics","Yoginomics","317"
"Varasudu","Varasudu","296"
"AK","AK","283"
"ThunivuPongal2023","ThunivuPongal2023","274"
"ThunivuDay","ThunivuDay","272"
"Pongal2023","Pongal2023","270"
"VarisuBooking","VarisuBooking","236"
"VarisuTicketsHelp","VarisuTicketsHelp","185"
"TrendingNow","TrendingNow","185"
"RashmikaMandanna","RashmikaMandanna","170"
"Beast","Beast","161"
"Trending","Trending","157"
"UnbeatableThunivuTrailer","UnbeatableThunivuTrailer","154"
"NEKOMONK","NEKOMONK","150"
"V","V","144"
"T","T","144"
"VarisuHindi","VarisuHindi","143"
"Madurai","Madurai","139"
"motivational","motivational","132"
"Chennai","Chennai","124"
"ThunivuTralier","ThunivuTralier","123"
"waltairveeraya","waltairveeraya","118"
"dilraju","dilraju","116"
"Chiranjeevi","Chiranjeevi","105"
"UK","UK","105"
"RecordBreakingVarisuTrailer","RecordBreakingVarisuTrailer","104"
"MaheshBabu","MaheshBabu","102"
"anthanan","anthanan","102"
"VaarasuduSankranthi","VaarasuduSankranthi","101"
"Balakrishna","Balakrishna","98"
"DilRaju","DilRaju","96"
"varasadu","varasadu","96"
"Samantha","Samantha","96"
"AirIndiaHorror","AirIndiaHorror","96"
"VARISU","VARISU","95"
"VarisuHindiTrailer","VarisuHindiTrailer","94"
"ThalaAjith","ThalaAjith","92"
"ThunivuBooking","ThunivuBooking","91"
"VarisuFDFS","VarisuFDFS","91"
"Sankranti2023","Sankranti2023","90"
"VaarasuduTrailer","VaarasuduTrailer","89"
"lowkeymustbelowkey","lowkeymustbelowkey","87"
"Salem","Salem","86"
"Pathaan","Pathaan","83"
"WaltairVeerayyaTrailer","WaltairVeerayyaTrailer","82"
"PongalMovies","PongalMovies","82"
"ManjuWarrier","ManjuWarrier","80"
"TaazaKhabar","TaazaKhabar","79"
"BajajFinance","BajajFinance","79"
"VijayThalapathy","VijayThalapathy","78"
"ChillaChilla","ChillaChilla","77"
"Pongal","Pongal","74"
"WalterVeerayya","WalterVeerayya","74"
